"Notes"	"State"	"State Code"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"Vascular dementia, unspecified"	"F01.9"	13	332986	Unreliable
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"Unspecified dementia"	"F03"	144	332986	43.2
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"Vascular dementia, unspecified"	"F01.9"	12	595564	Unreliable
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"Unspecified dementia"	"F03"	158	595564	26.5
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Unspecified dementia"	"F03"	137	499601	27.4
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	25	499601	5.0
	"Alabama"	"01"	"Greene County, AL"	"01063"	"Unspecified dementia"	"F03"	31	175560	17.7
	"Alabama"	"01"	"Hale County, AL"	"01065"	"Unspecified dementia"	"F03"	86	307035	28.0
	"Alabama"	"01"	"Henry County, AL"	"01067"	"Unspecified dementia"	"F03"	124	321703	38.5
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Vascular dementia, unspecified"	"F01.9"	25	1855300	1.3
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Unspecified dementia"	"F03"	478	1855300	25.8
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	51	1855300	2.7
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	23	1855300	1.2
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	10	1855300	Unreliable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Vascular dementia, unspecified"	"F01.9"	13	1011103	Unreliable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Unspecified dementia"	"F03"	283	1011103	28.0
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Multi-infarct dementia"	"F01.1"	44	12513832	0.4
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Vascular dementia, unspecified"	"F01.9"	315	12513832	2.5
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Unspecified dementia"	"F03"	4604	12513832	36.8
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Delirium superimposed on dementia"	"F05.1"	16	12513832	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Delirium, unspecified"	"F05.9"	17	12513832	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	64	12513832	0.5
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	12	12513832	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	197	12513832	1.6
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	156	12513832	1.2
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	12	12513832	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	129	12513832	1.0
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	38	12513832	0.3
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	84	12513832	0.7
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	40	12513832	0.3
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	115	12513832	0.9
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	125	12513832	1.0
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"	"F19.2"	13	12513832	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Schizophrenia, unspecified"	"F20.9"	18	12513832	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Depressive episode, unspecified"	"F32.9"	20	12513832	0.2
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Psychological and behavioural factors associated with disorders or diseases classified elsewhere"	"F54"	16	12513832	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Unspecified mental retardation"	"F79"	31	12513832	0.2
	"Alabama"	"01"	"Lamar County, AL"	"01075"	"Unspecified dementia"	"F03"	122	280624	43.5
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Multi-infarct dementia"	"F01.1"	11	1724673	Unreliable
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Vascular dementia, unspecified"	"F01.9"	60	1724673	3.5
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Unspecified dementia"	"F03"	605	1724673	35.1
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Delirium, unspecified"	"F05.9"	12	1724673	Unreliable
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	17	1724673	Unreliable
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	15	1724673	Unreliable
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	16	1724673	Unreliable
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"Unspecified dementia"	"F03"	127	647747	19.6
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Vascular dementia, unspecified"	"F01.9"	18	2579698	Unreliable
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Unspecified dementia"	"F03"	492	2579698	19.1
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	20	2579698	0.8
	"Alabama"	"01"	"Lee County, AL"	"01081"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	18	2579698	Unreliable
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Vascular dementia, unspecified"	"F01.9"	20	1498773	1.3
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"Unspecified dementia"	"F03"	309	1498773	20.6
	"Alabama"	"01"	"Lowndes County, AL"	"01085"	"Unspecified dementia"	"F03"	36	224284	16.1
	"Alabama"	"01"	"Macon County, AL"	"01087"	"Unspecified dementia"	"F03"	121	409922	29.5
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Multi-infarct dementia"	"F01.1"	15	6073525	Unreliable
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Vascular dementia, unspecified"	"F01.9"	88	6073525	1.4
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Unspecified dementia"	"F03"	1628	6073525	26.8
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	11	6073525	Unreliable
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	19	6073525	Unreliable
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	19	6073525	Unreliable
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	23	6073525	0.4
	"Alabama"	"01"	"Madison County, AL"	"01089"	"Psychological and behavioural factors associated with disorders or diseases classified elsewhere"	"F54"	11	6073525	Unreliable
	"Alabama"	"01"	"Marengo County, AL"	"01091"	"Unspecified dementia"	"F03"	148	401817	36.8
	"Alabama"	"01"	"Marion County, AL"	"01093"	"Unspecified dementia"	"F03"	234	580989	40.3
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Vascular dementia, unspecified"	"F01.9"	27	1703998	1.6
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"Unspecified dementia"	"F03"	436	1703998	25.6
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Multi-infarct dementia"	"F01.1"	19	7735541	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Vascular dementia, unspecified"	"F01.9"	170	7735541	2.2
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Unspecified dementia"	"F03"	2211	7735541	28.6
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	240	7735541	3.1
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	24	7735541	0.3
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	173	7735541	2.2
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	10	7735541	Unreliable
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	28	7735541	0.4
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Unspecified mental retardation"	"F79"	21	7735541	0.3
	"Alabama"	"01"	"Monroe County, AL"	"01099"	"Unspecified dementia"	"F03"	80	439004	18.2
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Vascular dementia, unspecified"	"F01.9"	83	4296734	1.9
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Unspecified dementia"	"F03"	1074	4296734	25.0
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Delirium, unspecified"	"F05.9"	18	4296734	Unreliable
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	10	4296734	Unreliable
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	11	4296734	Unreliable
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	15	4296734	Unreliable
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Vascular dementia, unspecified"	"F01.9"	39	2210213	1.8
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Unspecified dementia"	"F03"	615	2210213	27.8
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	16	2210213	Unreliable
	"Alabama"	"01"	"Perry County, AL"	"01105"	"Vascular dementia, unspecified"	"F01.9"	12	202810	Unreliable
	"Alabama"	"01"	"Perry County, AL"	"01105"	"Unspecified dementia"	"F03"	59	202810	29.1
	"Alabama"	"01"	"Pickens County, AL"	"01107"	"Unspecified dementia"	"F03"	162	384304	42.2
	"Alabama"	"01"	"Pike County, AL"	"01109"	"Unspecified dementia"	"F03"	116	603130	19.2
	"Alabama"	"01"	"Pike County, AL"	"01109"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	17	603130	Unreliable
	"Alabama"	"01"	"Randolph County, AL"	"01111"	"Vascular dementia, unspecified"	"F01.9"	12	429749	Unreliable
	"Alabama"	"01"	"Randolph County, AL"	"01111"	"Unspecified dementia"	"F03"	121	429749	28.2
	"Alabama"	"01"	"Russell County, AL"	"01113"	"Vascular dementia, unspecified"	"F01.9"	15	1011681	Unreliable
	"Alabama"	"01"	"Russell County, AL"	"01113"	"Unspecified dementia"	"F03"	190	1011681	18.8
	"Alabama"	"01"	"Russell County, AL"	"01113"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	13	1011681	Unreliable
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Vascular dementia, unspecified"	"F01.9"	25	1482453	1.7
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Unspecified dementia"	"F03"	522	1482453	35.2
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	15	1482453	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Vascular dementia, unspecified"	"F01.9"	44	3465592	1.3
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Unspecified dementia"	"F03"	816	3465592	23.5
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	10	3465592	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	18	3465592	Unreliable
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	15	3465592	Unreliable
	"Alabama"	"01"	"Sumter County, AL"	"01119"	"Unspecified dementia"	"F03"	45	263214	17.1
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"Vascular dementia, unspecified"	"F01.9"	35	1544702	2.3
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"Unspecified dementia"	"F03"	698	1544702	45.2
	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	"Vascular dementia, unspecified"	"F01.9"	21	783416	2.7
	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	"Unspecified dementia"	"F03"	420	783416	53.6
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Vascular dementia, unspecified"	"F01.9"	45	3539810	1.3
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Unspecified dementia"	"F03"	1082	3539810	30.6
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	49	3539810	1.4
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	20	3539810	0.6
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	18	3539810	Unreliable
	"Alabama"	"01"	"Walker County, AL"	"01127"	"Multi-infarct dementia"	"F01.1"	13	1284664	Unreliable
	"Alabama"	"01"	"Walker County, AL"	"01127"	"Vascular dementia, unspecified"	"F01.9"	34	1284664	2.6
	"Alabama"	"01"	"Walker County, AL"	"01127"	"Unspecified dementia"	"F03"	595	1284664	46.3
	"Alabama"	"01"	"Washington County, AL"	"01129"	"Unspecified dementia"	"F03"	76	331350	22.9
	"Alabama"	"01"	"Wilcox County, AL"	"01131"	"Unspecified dementia"	"F03"	34	227689	14.9
	"Alabama"	"01"	"Winston County, AL"	"01133"	"Vascular dementia, unspecified"	"F01.9"	10	464198	Unreliable
	"Alabama"	"01"	"Winston County, AL"	"01133"	"Unspecified dementia"	"F03"	111	464198	23.9
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Multi-infarct dementia"	"F01.1"	20	5380997	0.4
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Vascular dementia, unspecified"	"F01.9"	100	5380997	1.9
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Unspecified dementia"	"F03"	898	5380997	16.7
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	16	5380997	Unreliable
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	105	5380997	2.0
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	132	5380997	2.5
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Mental and behavioural disorders due to use of alcohol, withdrawal state"	"F10.3"	14	5380997	Unreliable
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	102	5380997	1.9
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	21	5380997	0.4
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"Unspecified dementia"	"F03"	40	323171	12.4
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	13	323171	Unreliable
	"Alaska"	"02"	"Bethel Census Area, AK"	"02050"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	16	323171	Unreliable
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Unspecified dementia"	"F03"	174	1774155	9.8
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	31	1774155	1.7
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	38	1774155	2.1
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	40	1774155	2.3
	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	"Unspecified dementia"	"F03"	85	597584	14.2
	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	22	597584	3.7
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"Unspecified dementia"	"F03"	182	1026542	17.7
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	15	1026542	Unreliable
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	31	1026542	3.0
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	30	1026542	2.9
	"Alaska"	"02"	"Ketchikan Gateway Borough, AK"	"02130"	"Unspecified dementia"	"F03"	52	258780	20.1
	"Alaska"	"02"	"Ketchikan Gateway Borough, AK"	"02130"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	15	258780	Unreliable
	"Alaska"	"02"	"Kodiak Island Borough, AK"	"02150"	"Unspecified dementia"	"F03"	18	258625	Unreliable
	"Alaska"	"02"	"Kodiak Island Borough, AK"	"02150"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	10	258625	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Vascular dementia, unspecified"	"F01.9"	20	1566569	1.3
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Unspecified dementia"	"F03"	250	1566569	16.0
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	13	1566569	Unreliable
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	26	1566569	1.7
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	18	1566569	Unreliable
	"Alaska"	"02"	"Nome Census Area, AK"	"02180"	"Unspecified dementia"	"F03"	22	180308	12.2
	"Alaska"	"02"	"Nome Census Area, AK"	"02180"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	14	180308	Unreliable
	"Alaska"	"02"	"North Slope Borough, AK"	"02185"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	10	166051	Unreliable
	"Alaska"	"02"	"Northwest Arctic Borough, AK"	"02188"	"Unspecified dementia"	"F03"	11	142364	Unreliable
	"Alaska"	"02"	"Sitka Borough, AK"	"02220"	"Unspecified dementia"	"F03"	30	168763	17.8
	"Alaska"	"02"	"Southeast Fairbanks Census Area, AK"	"02240"	"Unspecified dementia"	"F03"	17	125489	Unreliable
	"Alaska"	"02"	"Southeast Fairbanks Census Area, AK"	"02240"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	13	125489	Unreliable
	"Alaska"	"02"	"Valdez-Cordova Census Area, AK"	"02261"	"Unspecified dementia"	"F03"	16	185066	Unreliable
	"Alaska"	"02"	"Wade Hampton Census Area, AK"	"02270"	"Unspecified dementia"	"F03"	16	142767	Unreliable
	"Alaska"	"02"	"Wrangell-Petersburg Census Area, AK"	"02280"	"Unspecified dementia"	"F03"	12	94972	Unreliable
